match_id,innings,over,ball,batsman,bowler,runs_off_bat,extras,is_wicket
M075,1,13,4,Dhoni,Ben Stokes,0,0,0
M005,2,3,2,Prasidh Krishna,Adam Zampa,0,0,0
M033,2,1,4,Noor Ahmad,Ravindra Jadeja,0,2,0
M247,1,10,5,R Ashwin,Varun Chakravarthy,1,0,0
M061,1,7,2,Jake Fraser-McGurk,Trent Boult,0,0,0
M250,2,3,3,Rinku Singh,Mohammed Siraj,6,0,0
M105,2,13,4,Harshal Patel,Will Jacks,1,0,0
M141,1,7,5,Sam Curran,Adam Zampa,2,1,0
M226,2,13,1,Shreyas Iyer,Arshdeep Singh,4,0,0
M235,1,15,1,Shivam Dube,Shimron Hetmyer,1,0,0
M043,1,1,3,Glenn Maxwell,Tushar Deshpande,1,1,0
M185,2,20,1,Mukesh Kumar,R Ashwin,0,0,0
M093,1,4,6,Rahmanullah Gurbaz,Rashid Khan,0,0,0
M081,2,3,3,Pat Cummins,Adam Zampa,1,0,0
M055,1,19,2,Heinrich Klaasen,Venkatesh Iyer,4,0,0
M146,2,1,3,Yuzvendra Chahal,Matheesha Pathirana,4,0,0
M234,1,6,1,Dhruv Jurel,Aiden Markram,0,0,0
M105,2,11,1,Mohsin Khan,Shahbaz Ahmed,0,0,0
M137,1,10,2,Yuzvendra Chahal,Kyle Mayers,1,0,0
M063,2,8,3,Ruturaj Gaikwad,Daryl Mitchell,1,0,0
M241,2,2,2,Yashasvi Jaiswal,Mitchell Marsh,1,0,0
M061,1,12,6,Noor Ahmad,Mohammed Siraj,6,0,0
M231,1,7,1,Rachin Ravindra,Angkrish Raghuvanshi,1,0,0
M068,2,20,5,Ben Stokes,Will Jacks,3,0,0
M021,2,6,4,Dhruv Jurel,Devdutt Padikkal,0,0,1
M192,2,7,3,Ravindra Jadeja,Pat Cummins,1,0,0
M015,1,15,6,Jos Buttler,Anrich Nortje,0,0,0
M148,1,3,3,Trent Boult,Quinton de Kock,1,0,0
M065,2,16,6,Jake Fraser-McGurk,Pat Cummins,4,0,0
M165,2,18,2,Mukesh Kumar,Harshal Patel,1,0,0
M155,1,9,4,Heinrich Klaasen,Kuldeep Yadav,1,0,0
M115,2,13,6,Shubman Gill,Varun Chakravarthy,1,0,0
M186,2,6,5,Tilak Varma,Mohammed Shami,1,0,1
M170,2,19,5,Dhoni,Abdul Samad,4,0,0
M043,2,20,4,Phil Salt,Mohsin Khan,1,0,0
M238,2,14,3,R Ashwin,Marco Jansen,1,0,0
M190,2,5,1,Nicholas Pooran,Kagiso Rabada,1,1,0
M211,1,19,2,Devdutt Padikkal,Varun Chakravarthy,0,0,0
M154,2,14,4,Yuzvendra Chahal,Jake Fraser-McGurk,6,0,0
M123,2,20,2,Riyan Parag,Shahbaz Ahmed,0,0,0
M020,2,7,1,Sai Sudharsan,Trent Boult,0,2,0
M040,1,12,6,Travis Head,Jake Fraser-McGurk,2,0,0
M041,1,14,5,Trent Boult,Ayush Badoni,0,0,1
M171,2,4,1,Nitish Kumar Reddy,Gerald Coetzee,4,0,0
M039,1,19,6,Shubman Gill,Naveen ul Haq,4,0,0
M111,1,6,4,Mohammed Siraj,Ayush Badoni,1,0,0
M212,2,11,1,Naveen ul Haq,Yuzvendra Chahal,1,0,0
M244,2,7,4,Daryl Mitchell,Mitchell Starc,1,0,0
M139,2,15,5,Abhishek Sharma,Jason Holder,0,0,0
M114,1,19,4,Matheesha Pathirana,Aiden Markram,4,0,0
M096,1,16,6,Liam Livingstone,Tushar Deshpande,0,0,0
M194,1,1,3,Mitchell Starc,Rajat Patidar,1,0,0
M222,2,2,1,Rahmanullah Gurbaz,Harshal Patel,0,0,0
M031,1,14,3,Bhuvneshwar Kumar,Jasprit Bumrah,0,0,0
M180,2,15,6,Sai Sudharsan,Kyle Mayers,4,0,0
M176,2,2,1,Naveen ul Haq,R Sai Kishore,0,0,0
M206,1,5,6,Varun Chakravarthy,Naveen ul Haq,1,0,0
M034,1,20,1,Shubman Gill,Shimron Hetmyer,4,0,0
M238,1,11,2,Gerald Coetzee,Lockie Ferguson,0,0,0
M238,1,7,3,Faf du Plessis,Ashutosh Sharma,1,1,0
M104,1,17,1,Rahul Tripathi,Matheesha Pathirana,1,0,0
M096,2,13,1,Mayank Yadav,Rachin Ravindra,4,0,0
M069,2,6,3,Trent Boult,Mohammed Siraj,1,0,0
M059,1,16,3,Gerald Coetzee,Reece Topley,0,0,0
M176,2,4,6,Mayank Yadav,Ben Stokes,0,1,0
M201,1,1,4,Pat Cummins,Glenn Phillips,0,1,1
M067,1,3,1,R Ashwin,Gerald Coetzee,1,0,0
M018,1,13,2,Rashid Khan,Will Jacks,0,0,0
M060,2,12,1,Yashasvi Jaiswal,Varun Chakravarthy,0,0,0
M159,2,10,1,Jake Fraser-McGurk,Reece Topley,4,0,0
M032,2,5,6,Mohsin Khan,Matheesha Pathirana,1,0,0
M118,2,6,3,Jos Buttler,Tushar Deshpande,0,0,0
M186,1,8,6,Lockie Ferguson,Venkatesh Iyer,2,0,0
M170,2,20,5,Dhruv Jurel,Gerald Coetzee,3,0,0
M206,2,18,4,Quinton de Kock,Ravindra Jadeja,1,0,0
M022,2,17,1,Yashasvi Jaiswal,Yuzvendra Chahal,1,0,0
M159,2,15,4,Shivam Dube,Varun Chakravarthy,6,0,0
M040,2,1,3,Jake Fraser-McGurk,Varun Chakravarthy,1,0,0
M188,1,11,6,T Natarajan,Axar Patel,3,0,0
M193,1,8,3,Phil Salt,Trent Boult,0,0,0
M117,1,13,6,Rahmanullah Gurbaz,Lockie Ferguson,1,0,1
M182,2,13,5,Jos Buttler,Rajat Patidar,2,0,0
M175,1,6,3,Shreyas Iyer,Arshdeep Singh,0,0,0
M250,2,9,1,Rinku Singh,Yash Dayal,0,0,0
M025,1,11,6,Tilak Varma,Anrich Nortje,0,1,0
M179,1,3,5,Glenn Maxwell,Gerald Coetzee,1,0,0
M243,2,7,5,Shivam Dube,Angkrish Raghuvanshi,2,0,0
M150,2,20,6,Devdutt Padikkal,Krunal Pandya,2,2,0
M013,2,19,2,Virat Kohli,Adam Zampa,2,2,0
M177,2,5,4,Ruturaj Gaikwad,Nehal Wadhera,0,0,0
M007,1,11,2,Devdutt Padikkal,Kane Williamson,1,0,0
M034,1,4,1,Trent Boult,Shimron Hetmyer,0,0,0
M230,1,2,1,Ishan Kishan,Kane Williamson,2,1,1
M137,1,6,1,Gerald Coetzee,Ashutosh Sharma,4,0,0
M227,2,13,6,Mukesh Kumar,Nehal Wadhera,1,0,0
M080,1,18,5,Nitish Kumar Reddy,Chris Jordan,0,0,0
M095,2,13,4,Rohit Sharma,Ryan Rickelton,1,0,0
M244,2,20,5,Ruturaj Gaikwad,Arshdeep Singh,0,0,0
M061,2,3,6,Ishan Kishan,Yuzvendra Chahal,1,0,0
M125,1,19,1,Matheesha Pathirana,Harpreet Brar,1,0,0
M103,1,18,3,Tim David,Kuldeep Yadav,6,0,0
M161,1,13,3,Tim David,R Ashwin,1,0,0
M192,1,15,5,Kagiso Rabada,Glenn Phillips,0,0,0
M066,2,17,5,Tim David,Angkrish Raghuvanshi,0,0,0
M103,1,4,2,Travis Head,Abdul Samad,1,0,0
M103,2,2,1,Varun Chakravarthy,Shimron Hetmyer,1,0,0
M243,1,19,2,Marcus Stoinis,Quinton de Kock,0,0,0
M152,1,13,1,Riyan Parag,Angkrish Raghuvanshi,1,0,0
M048,2,19,1,Tim David,Krunal Pandya,1,0,0
M011,1,2,3,Travis Head,Abdul Samad,2,0,0
M226,2,2,5,Shivam Dube,Daryl Mitchell,4,1,0
M185,2,3,1,Harshal Patel,R Sai Kishore,4,0,0
M242,2,6,1,Tilak Varma,Anrich Nortje,6,1,0
M060,2,14,3,Gerald Coetzee,Trent Boult,1,0,0
M176,1,20,6,Rashid Khan,Quinton de Kock,1,0,0
M014,2,19,1,Kagiso Rabada,Kuldeep Yadav,0,0,0
M049,1,17,5,Dhruv Jurel,Rahmanullah Gurbaz,1,0,0
M042,1,15,4,Liam Livingstone,Jake Fraser-McGurk,2,0,0
M178,2,3,1,Heinrich Klaasen,Kuldeep Yadav,2,0,0
M099,2,3,4,Sanju Samson,Chris Jordan,3,0,0
M052,1,8,4,Bhuvneshwar Kumar,Mitchell Marsh,4,0,0
M221,2,5,6,Marcus Stoinis,Liam Livingstone,0,0,0
M243,2,11,3,Rohit Sharma,Ryan Rickelton,4,0,0
M144,1,12,5,Mukesh Kumar,Mohsin Khan,6,0,0
M120,1,4,4,Rachin Ravindra,Daryl Mitchell,0,0,0
M211,1,16,5,R Ashwin,Daryl Mitchell,1,0,0
M022,2,5,1,Heinrich Klaasen,Rajat Patidar,2,0,0
M196,1,4,4,Harshal Patel,Ayush Badoni,4,1,0
M141,1,4,5,Phil Salt,Quinton de Kock,2,0,0
M219,2,7,1,Mohsin Khan,Noor Ahmad,0,2,0
M141,1,12,1,Ravindra Jadeja,Noor Ahmad,1,0,0
M208,2,19,5,Sam Curran,Mitchell Starc,0,0,0
M074,2,16,5,Shubman Gill,Anrich Nortje,0,0,0
M139,2,12,3,Dhruv Jurel,Reece Topley,0,0,0
M048,1,3,5,Harshal Patel,Kuldeep Yadav,1,0,0
M243,1,1,4,Harshal Patel,Harshal Patel,2,0,0
M173,1,11,6,Bhuvneshwar Kumar,Kyle Mayers,1,0,0
M115,2,4,3,Riyan Parag,Josh Hazlewood,1,0,0
M188,1,9,5,Axar Patel,Shimron Hetmyer,1,0,0
M010,2,14,3,Avesh Khan,Jasprit Bumrah,0,0,0
M030,1,9,1,Faf du Plessis,Rahmanullah Gurbaz,0,0,0
M078,1,4,3,Phil Salt,Naveen ul Haq,0,0,0
M036,1,13,4,Axar Patel,Lockie Ferguson,4,0,0
M001,1,15,6,Naveen ul Haq,Yash Dayal,1,0,0
M061,2,9,3,Phil Salt,Harpreet Brar,4,1,0
M103,1,16,1,Tilak Varma,Chris Jordan,3,1,0
M086,2,19,4,Noor Ahmad,Krunal Pandya,3,0,0
M064,1,20,4,Travis Head,Khaleel Ahmed,0,1,0
M073,2,18,4,Lockie Ferguson,Gerald Coetzee,2,1,0
M194,1,14,5,Harshal Patel,Will Jacks,2,0,0
M170,2,19,2,Shivam Dube,Rahmanullah Gurbaz,1,0,0
M182,1,2,4,Devdutt Padikkal,Rachin Ravindra,2,0,0
M203,1,11,4,Deepak Chahar,Mohsin Khan,0,1,0
M201,1,4,1,Rashid Khan,R Ashwin,0,0,0
M097,2,5,5,Avesh Khan,R Ashwin,0,0,0
M217,1,7,6,Mayank Yadav,Mohammed Siraj,1,0,0
M027,1,15,5,Ruturaj Gaikwad,Yuzvendra Chahal,1,0,0
M192,1,9,4,Marcus Stoinis,Anrich Nortje,4,0,0
M220,1,7,2,Nicholas Pooran,Mohammed Shami,0,0,0
M203,1,2,4,Shubman Gill,Nehal Wadhera,0,0,0
M235,2,17,3,Jasprit Bumrah,Wanindu Hasaranga,0,1,0
M243,2,10,6,Ruturaj Gaikwad,Daryl Mitchell,2,0,0
M082,1,17,6,KL Rahul,Mohammed Siraj,1,0,0
