match_id,season,match_date,venue,team1,team2,winner,toss_winner
M001,2026,20-03-2026,Wankhede Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad
M002,2026,21-03-2026,Narendra Modi Stadium,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Gujarat Titans
M003,2026,22-03-2026,Ekana Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Delhi Capitals
M004,2026,23-03-2026,Sawai Mansingh Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians
M005,2026,24-03-2026,Ekana Stadium,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders
M006,2026,25-03-2026,Wankhede Stadium,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru
M007,2026,26-03-2026,Sawai Mansingh Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians
M008,2026,27-03-2026,M. A. Chidambaram Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders
M009,2026,28-03-2026,M. A. Chidambaram Stadium,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Delhi Capitals
M010,2026,29-03-2026,Rajiv Gandhi Intl Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,Mumbai Indians
M011,2026,30-03-2026,M. A. Chidambaram Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
M012,2026,31-03-2026,PCA Stadium,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad
M013,2026,01-04-2026,M. A. Chidambaram Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,Punjab Kings
M014,2026,02-04-2026,Eden Gardens,Mumbai Indians,Delhi Capitals,Mumbai Indians,Mumbai Indians
M015,2026,03-04-2026,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,Mumbai Indians,Gujarat Titans
M016,2026,04-04-2026,Rajiv Gandhi Intl Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
M017,2026,05-04-2026,Ekana Stadium,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
M018,2026,06-04-2026,Rajiv Gandhi Intl Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders
M019,2026,07-04-2026,Eden Gardens,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chennai Super Kings
M020,2026,08-04-2026,Wankhede Stadium,Gujarat Titans,Mumbai Indians,Gujarat Titans,Gujarat Titans
M021,2026,09-04-2026,Wankhede Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
M022,2026,10-04-2026,Arun Jaitley Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Royal Challengers Bengaluru
M023,2026,11-04-2026,Sawai Mansingh Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
M024,2026,12-04-2026,Sawai Mansingh Stadium,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,Gujarat Titans
M025,2026,13-04-2026,Rajiv Gandhi Intl Stadium,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Royal Challengers Bengaluru
M026,2026,14-04-2026,Eden Gardens,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals
M027,2026,15-04-2026,Sawai Mansingh Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings
