player_id,player_name,role,team,nationality,last_updated
P001,Virat Kohli,Batsman,Royal Challengers Bengaluru,India,01-01-2026
P002,Rohit Sharma,Batsman,Mumbai Indians,India,02-01-2026
P003,Jasprit Bumrah,Bowler,Mumbai Indians,India,03-01-2026
P004,MS Dhoni,Wicketkeeper,Chennai Super Kings,India,04-01-2026
P005,Hardik Pandya,All-rounder,Mumbai Indians,India,05-01-2026
P006,KL Rahul,Wicketkeeper,Delhi Capitals,India,06-01-2026
P007,Shubman Gill,Batsman,Gujarat Titans,India,07-01-2026
P008,Ruturaj Gaikwad,Batsman,Chennai Super Kings,India,08-01-2026
P009,Yashasvi Jaiswal,Batsman,Rajasthan Royals,India,09-01-2026
P010,Sai Sudharsan,Batsman,Gujarat Titans,India,10-01-2026
P011,Tilak Varma,Batsman,Mumbai Indians,India,11-01-2026
P012,Rinku Singh,Batsman,Kolkata Knight Riders,India,12-01-2026
P013,Sanju Samson,Wicketkeeper,Rajasthan Royals,India,13-01-2026
P014,Shreyas Iyer,Batsman,Punjab Kings,India,14-01-2026
P015,Suryakumar Yadav,Batsman,Mumbai Indians,India,15-01-2026
P016,Rashid Khan,Bowler,Gujarat Titans,Afghanistan,16-01-2026
P017,Pat Cummins,Bowler,Sunrisers Hyderabad,Australia,17-01-2026
P018,Trent Boult,Bowler,Rajasthan Royals,New Zealand,18-01-2026
P019,Mohammed Siraj,Bowler,Gujarat Titans,India,19-01-2026
P020,Mohammed Shami,Bowler,Sunrisers Hyderabad,India,20-01-2026
P021,Ravindra Jadeja,All-rounder,Chennai Super Kings,India,21-01-2026
P022,Kuldeep Yadav,Bowler,Delhi Capitals,India,22-01-2026
P023,Yuzvendra Chahal,Bowler,Punjab Kings,India,23-01-2026
P024,Varun Chakravarthy,Bowler,Kolkata Knight Riders,India,24-01-2026
P025,Arshdeep Singh,Bowler,Punjab Kings,India,25-01-2026
P026,Harshal Patel,Bowler,Sunrisers Hyderabad,India,26-01-2026
P027,Abhishek Sharma,All-rounder,Sunrisers Hyderabad,India,27-01-2026
P028,Nitish Kumar Reddy,All-rounder,Sunrisers Hyderabad,India,28-01-2026
P029,Ishan Kishan,Wicketkeeper,Sunrisers Hyderabad,India,29-01-2026
P030,Dhruv Jurel,Wicketkeeper,Rajasthan Royals,India,30-01-2026
P031,Aarav Sharma,Wicketkeeper,Chennai Super Kings,India,31-01-2026
P032,Vivaan Patel,Batsman,Royal Challengers Bengaluru,India,01-02-2026
P033,Arjun Reddy,Bowler,Kolkata Knight Riders,New Zealand,02-02-2026
P034,Aditya Nair,All-rounder,Sunrisers Hyderabad,India,03-02-2026
P035,Krishna Joshi,Wicketkeeper,Delhi Capitals,India,04-02-2026
P036,Manav Verma,Batsman,Punjab Kings,South Africa,05-02-2026
P037,Karan Singh,Bowler,Rajasthan Royals,India,06-02-2026
P038,Neel Kulkarni,All-rounder,Gujarat Titans,India,07-02-2026
P039,Harsh Menon,Wicketkeeper,Lucknow Super Giants,Sri Lanka,08-02-2026
P040,Akash Pillai,Batsman,Mumbai Indians,India,09-02-2026
P041,Dev Shetty,Bowler,Chennai Super Kings,India,10-02-2026
P042,Pranav Bose,All-rounder,Royal Challengers Bengaluru,West Indies,11-02-2026
P043,Vihaan Deshmukh,Wicketkeeper,Kolkata Knight Riders,India,12-02-2026
P044,Aryan Rao,Batsman,Sunrisers Hyderabad,India,13-02-2026
P045,Rohan Gill,Bowler,Delhi Capitals,Afghanistan,14-02-2026
P046,Yash Kumar,All-rounder,Punjab Kings,India,15-02-2026
P047,Ishaan Naidu,Wicketkeeper,Rajasthan Royals,India,16-02-2026
P048,Rahul Malhotra,Batsman,Gujarat Titans,India,17-02-2026
P049,Nikhil Bhosale,Bowler,Lucknow Super Giants,India,18-02-2026
P050,Siddharth Iyer,All-rounder,Mumbai Indians,India,19-02-2026
P051,Aarav Sharma,Wicketkeeper,Chennai Super Kings,Australia,20-02-2026
P052,Vivaan Patel,Batsman,Royal Challengers Bengaluru,India,21-02-2026
P053,Arjun Reddy,Bowler,Kolkata Knight Riders,India,22-02-2026
P054,Aditya Nair,All-rounder,Sunrisers Hyderabad,England,23-02-2026
P055,Krishna Joshi,Wicketkeeper,Delhi Capitals,India,24-02-2026
P056,Manav Verma,Batsman,Punjab Kings,India,25-02-2026
P057,Karan Singh,Bowler,Rajasthan Royals,New Zealand,26-02-2026
P058,Neel Kulkarni,All-rounder,Gujarat Titans,India,27-02-2026
P059,Harsh Menon,Wicketkeeper,Lucknow Super Giants,India,28-02-2026
P060,Akash Pillai,Batsman,Mumbai Indians,South Africa,01-03-2026
P061,Dev Shetty,Bowler,Chennai Super Kings,India,02-03-2026
P062,Pranav Bose,All-rounder,Royal Challengers Bengaluru,India,03-03-2026
P063,Vihaan Deshmukh,Wicketkeeper,Kolkata Knight Riders,Sri Lanka,04-03-2026
P064,Aryan Rao,Batsman,Sunrisers Hyderabad,India,05-03-2026
P065,Rohan Gill,Bowler,Delhi Capitals,India,06-03-2026
P066,Yash Kumar,All-rounder,Punjab Kings,West Indies,07-03-2026
P067,Ishaan Naidu,Wicketkeeper,Rajasthan Royals,India,08-03-2026
P068,Rahul Malhotra,Batsman,Gujarat Titans,India,09-03-2026
P069,Nikhil Bhosale,Bowler,Lucknow Super Giants,Afghanistan,10-03-2026
P070,Siddharth Iyer,All-rounder,Mumbai Indians,India,11-03-2026
P071,Aarav Sharma,Wicketkeeper,Chennai Super Kings,India,12-03-2026
P072,Vivaan Patel,Batsman,Royal Challengers Bengaluru,India,13-03-2026
P073,Arjun Reddy,Bowler,Kolkata Knight Riders,India,14-03-2026
P074,Aditya Nair,All-rounder,Sunrisers Hyderabad,India,15-03-2026
P075,Krishna Joshi,Wicketkeeper,Delhi Capitals,Australia,16-03-2026
P076,Manav Verma,Batsman,Punjab Kings,India,17-03-2026
P077,Karan Singh,Bowler,Rajasthan Royals,India,18-03-2026
P078,Neel Kulkarni,All-rounder,Gujarat Titans,England,19-03-2026
P079,Harsh Menon,Wicketkeeper,Lucknow Super Giants,India,20-03-2026
P080,Akash Pillai,Batsman,Mumbai Indians,India,21-03-2026
P081,Dev Shetty,Bowler,Chennai Super Kings,New Zealand,22-03-2026
P082,Pranav Bose,All-rounder,Royal Challengers Bengaluru,India,23-03-2026
P083,Vihaan Deshmukh,Wicketkeeper,Kolkata Knight Riders,India,24-03-2026
P084,Aryan Rao,Batsman,Sunrisers Hyderabad,South Africa,25-03-2026
P085,Rohan Gill,Bowler,Delhi Capitals,India,26-03-2026
P086,Yash Kumar,All-rounder,Punjab Kings,India,27-03-2026
P087,Ishaan Naidu,Wicketkeeper,Rajasthan Royals,Sri Lanka,28-03-2026
P088,Rahul Malhotra,Batsman,Gujarat Titans,India,29-03-2026
P089,Nikhil Bhosale,Bowler,Lucknow Super Giants,India,30-03-2026
P090,Siddharth Iyer,All-rounder,Mumbai Indians,West Indies,31-03-2026
P091,Aarav Sharma,Wicketkeeper,Chennai Super Kings,India,01-04-2026
P092,Vivaan Patel,Batsman,Royal Challengers Bengaluru,India,02-04-2026
P093,Arjun Reddy,Bowler,Kolkata Knight Riders,Afghanistan,03-04-2026
P094,Aditya Nair,All-rounder,Sunrisers Hyderabad,India,04-04-2026
P095,Krishna Joshi,Wicketkeeper,Delhi Capitals,India,05-04-2026
P096,Manav Verma,Batsman,Punjab Kings,India,06-04-2026
P097,Karan Singh,Bowler,Rajasthan Royals,India,07-04-2026
P098,Neel Kulkarni,All-rounder,Gujarat Titans,India,08-04-2026
P099,Harsh Menon,Wicketkeeper,Lucknow Super Giants,Australia,09-04-2026
P100,Akash Pillai,Batsman,Mumbai Indians,India,10-04-2026
P101,Dev Shetty,Bowler,Chennai Super Kings,India,11-04-2026
P102,Pranav Bose,All-rounder,Royal Challengers Bengaluru,England,12-04-2026
P103,Vihaan Deshmukh,Wicketkeeper,Kolkata Knight Riders,India,13-04-2026
P104,Aryan Rao,Batsman,Sunrisers Hyderabad,India,14-04-2026
P105,Rohan Gill,Bowler,Delhi Capitals,New Zealand,15-04-2026
P106,Yash Kumar,All-rounder,Punjab Kings,India,16-04-2026
P107,Ishaan Naidu,Wicketkeeper,Rajasthan Royals,India,17-04-2026
