team_id,team_name,coach,home_ground,captain
T001,Chennai Super Kings,Stephen Fleming,M. A. Chidambaram Stadium,MS Dhoni
T002,Mumbai Indians,Mark Boucher,Wankhede Stadium,Hardik Pandya
T003,Royal Challengers Bengaluru,Andy Flower,M Chinnaswamy Stadium,Rajat Patidar
T004,Kolkata Knight Riders,Chandrakant Pandit,Eden Gardens,Ajinkya Rahane
T005,Sunrisers Hyderabad,Daniel Vettori,Rajiv Gandhi Intl Stadium,Pat Cummins
T006,Rajasthan Royals,Rahul Dravid,Sawai Mansingh Stadium,Sanju Samson
T007,Delhi Capitals,Hemang Badani,Arun Jaitley Stadium,Axar Patel
T008,Lucknow Super Giants,Justin Langer,Ekana Stadium,Rishabh Pant
T009,Punjab Kings,Ricky Ponting,PCA Stadium,Shreyas Iyer
T010,Gujarat Titans,Ashish Nehra,Narendra Modi Stadium,Shubman Gill
T001,Chennai Super Kings,Stephen Fleming,M. A. Chidambaram Stadium,MS Dhoni
